"02-05-00", "UCEC--"
"02-05-01", "UCECS-"
"02-05-02", "UCECA-"
"02-05-03", "UCECC-"
"02-05-04", "UCECL-"
"02-05-05", "UCECM-"
"02-05-06", "UCECH-"
"02-05-07", "UCECT-"
"02-05-08", "UCECW-"
"02-05-09", "UCECO-"
"02-05-10", "UCECR-"
"02-05-11", "UCEN--"
"02-05-12", "UCENN-"
"02-05-13", "UCE---"
"02-06-00", "UCFH--"
"02-06-01", "UCFHE-"
"02-06-02", "UCFHS-"
"02-06-03", "UCFHA-"
"02-06-04", "UCFHC-"
"02-06-05", "UCFHO-"
"02-06-06", "UCFHL-"
"02-06-07", "UCFHM-"
"02-06-08", "UCFHH-"
"02-06-09", "UCFHX-"
"02-06-10", "UCFR--"
"02-06-11", "UCFRS-"
"02-06-12", "UCFRSS"
"02-06-13", "UCFRSR"
"02-06-14", "UCFRST"
"02-06-15", "UCFRM-"
"02-06-16", "UCFRMS"
"02-06-17", "UCFRMR"
"02-06-18", "UCFRMT"
"02-06-19", "UCFT--"
"02-06-20", "UCFTR-"
"02-06-21", "UCFTS-"
"02-06-22", "UCFTF-"
"02-06-23", "UCFTC-"
"02-06-24", "UCFTCD"
"02-06-25", "UCFTCM"
"02-06-26", "UCFTA-"
"02-06-27", "UCFM--"
"02-06-28", "UCFMS-"
"02-06-29", "UCFMW-"
"02-06-30", "UCFMT-"
"02-06-31", "UCFMTA"
"02-06-32", "UCFMTS"
"02-06-33", "UCFMTC"
"02-06-34", "UCFMTO"
"02-06-35", "UCFML-"
"02-06-36", "UCFS--"
"02-06-37", "UCFSS-"
"02-06-38", "UCFSA-"
"02-06-39", "UCFSL-"
"02-06-40", "UCFSO-"
"02-06-41", "UCFO--"
"02-06-42", "UCFOS-"
"02-06-43", "UCFOA-"
"02-06-44", "UCFOL-"
"02-06-45", "UCFOO-"
"02-06-46", "UCF---"
"02-07-00", "UCRH--"
"02-07-01", "UCRV--"
"02-07-02", "UCRVA-"
"02-07-03", "UCRVM-"
"02-07-04", "UCRVG-"
"02-07-05", "UCRVO-"
"02-07-06", "UCRC--"
"02-07-07", "UCRS--"
"02-07-08", "UCRA--"
"02-07-09", "UCRO--"
"02-07-10", "UCRL--"
"02-07-11", "UCRR--"
"02-07-12", "UCRRD-"
"02-07-13", "UCRRF-"
"02-07-14", "UCRRL-"
"02-07-15", "UCRX--"
"02-07-16", "UCR---"
"02-08-00", "UCMT--"
"02-08-01", "UCMS--"
"02-08-02", "UCM---"
"02-09-00", "UCSW--"
"02-09-01", "UCSG--"
"02-09-02", "UCSGD-"
"02-09-03", "UCSGM-"
"02-09-04", "UCSGA-"
"02-09-05", "UCSM--"
"02-09-06", "UCSR--"
"02-09-07", "UCSA--"
"02-09-08", "UCS---"
"02-10-00", "UUAC--"
"02-10-01", "UUACC-"
"02-10-02", "UUACCK"
"02-10-03", "UUACCM"
"02-10-04", "UUACS-"
"02-10-05", "UUACSM"
"02-10-06", "UUACSA"
"02-10-07", "UUACR-"
"02-10-08", "UUACRW"
"02-10-09", "UUACRS"
"02-10-10", "UUAN--"
"02-10-11", "UUAB--"
"02-10-12", "UUABR-"
"02-10-13", "UUAD--"
"02-10-14", "UUA---"
"02-11-00", "UUMA--"
"02-11-01", "UUMS--"
"02-11-02", "UUMSE-"
"02-11-03", "UUMSEA"
"02-11-04", "UUMSED"
"02-11-05", "UUMSEI"
